"","Region","RegionName","StateName","MSAName","CountyName","CityName","ForecastYoYPctChange"
"1","State","Alaska","AK",NA,NA,NA,-3.18122767132186
"2","State","Alabama","AL",NA,NA,NA,0.538216560509563
"3","State","Arkansas","AR",NA,NA,NA,5.28477366255145
"4","State","Arizona","AZ",NA,NA,NA,4.34884696016771
"5","State","California","CA",NA,NA,NA,9.44409651869589
"6","State","Colorado","CO",NA,NA,NA,4.88444567015995
"7","State","Connecticut","CT",NA,NA,NA,3.46890971039182
"8","State","District of Columbia","DC",NA,NA,NA,4.90063536886693
"9","State","Delaware","DE",NA,NA,NA,5.31410825199645
"10","State","Florida","FL",NA,NA,NA,6.0950226244344
"11","State","Georgia","GA",NA,NA,NA,7.00116076610564
"12","State","Hawaii","HI",NA,NA,NA,-0.686663361427864
"13","State","Iowa","IA",NA,NA,NA,3.08351488743646
"14","State","Idaho","ID",NA,NA,NA,5.58268437929454
"15","State","Illinois","IL",NA,NA,NA,5.04783861671469
"16","State","Indiana","IN",NA,NA,NA,3.27841342486652
"17","State","Kansas","KS",NA,NA,NA,2.34760885082084
"18","State","Kentucky","KY",NA,NA,NA,3.65198555956678
"19","State","Louisiana","LA",NA,NA,NA,1.45121107266435
"20","State","Massachusetts","MA",NA,NA,NA,6.02808271636457
"21","State","Maryland","MD",NA,NA,NA,6.2529224229543
"22","State","Maine","ME",NA,NA,NA,8.74162895927602
"23","State","Michigan","MI",NA,NA,NA,9.16879432624114
"24","State","Minnesota","MN",NA,NA,NA,7.94407456724366
"25","State","Missouri","MO",NA,NA,NA,5.2296052631579
"26","State","Mississippi","MS",NA,NA,NA,2.10116731517509
"27","State","Montana","MT",NA,NA,NA,-2.80884879725086
"28","State","North Carolina","NC",NA,NA,NA,4.69854227405249
"29","State","North Dakota","ND",NA,NA,NA,2.00046838407495
"30","State","Nebraska","NE",NA,NA,NA,1.82923755513547
"31","State","New Hampshire","NH",NA,NA,NA,5.57060849598163
"32","State","New Jersey","NJ",NA,NA,NA,7.62344298946023
"33","State","New Mexico","NM",NA,NA,NA,-0.364121729845168
"34","State","Nevada","NV",NA,NA,NA,6.65825100622026
"35","State","New York","NY",NA,NA,NA,6.71302193913659
"36","State","Ohio","OH",NA,NA,NA,6.06493506493506
"37","State","Oklahoma","OK",NA,NA,NA,3.10226320201175
"38","State","Oregon","OR",NA,NA,NA,4.63348281016442
"39","State","Pennsylvania","PA",NA,NA,NA,4.99458809380637
"40","State","Rhode Island","RI",NA,NA,NA,6.68936326831064
"41","State","South Carolina","SC",NA,NA,NA,5.30393401015228
"42","State","South Dakota","SD",NA,NA,NA,1.18123324396784
"43","State","Tennessee","TN",NA,NA,NA,4.97053171044202
"44","State","Texas","TX",NA,NA,NA,2.97176981541802
"45","State","Utah","UT",NA,NA,NA,4.76437541308659
"46","State","Virginia","VA",NA,NA,NA,3.53913738019169
"47","State","Vermont","VT",NA,NA,NA,2.43894899536321
"48","State","Washington","WA",NA,NA,NA,7.72156334231806
"49","State","Wisconsin","WI",NA,NA,NA,4.36162988115449
"50","State","West Virginia","WV",NA,NA,NA,1.50411522633744
"51","State","Wyoming","WY",NA,NA,NA,2.11929986181483
"52","County","Ada","ID","Boise City","Ada",NA,0.902869757174396
"53","County","Bay","FL","Panama City","Bay",NA,6.01976685250887
"54","County","Bay","MI","Bay City","Bay",NA,3.09964830011724
"55","County","Bee","TX","Beeville","Bee",NA,4.06457399103139
"56","County","Gem","ID","Boise City","Gem",NA,5.89468779123952
"57","County","Jay","IN",NA,"Jay",NA,6.52013808975835
"58","County","Kay","OK","Ponca City","Kay",NA,0.119047619047619
"59","County","Lee","AL","Auburn","Lee",NA,2.09085903083701
"60","County","Lee","FL","Fort Myers","Lee",NA,1.37577365163573
"61","County","Lee","GA","Albany","Lee",NA,7.96433566433565
"62","County","Lee","MS","Tupelo","Lee",NA,-1.59253499222395
"63","County","Lee","NC","Sanford","Lee",NA,4.02262837249783
"64","County","Lee","TX",NA,"Lee",NA,6.05228276877761
"65","County","Bell","TX","Killeen","Bell",NA,1.63511450381679
"66","County","Bibb","GA","Macon","Bibb",NA,1.55307262569833
"67","County","Boyd","KY","Huntington","Boyd",NA,1.22070534698522
"68","County","Camp","TX",NA,"Camp",NA,2.02916274694263
"69","County","Cass","IN","Logansport","Cass",NA,0.420689655172413
"70","County","Cass","MI","South Bend","Cass",NA,8.88694852941176
"71","County","Cass","MN","Brainerd","Cass",NA,10.5817157169693
"72","County","Cass","MO","Kansas City","Cass",NA,4.06543624161073
"73","County","Cass","ND","Fargo","Cass",NA,5.74194971327746
"74","County","Cass","TX",NA,"Cass",NA,5.16427104722792
"75","County","Clay","FL","Jacksonville","Clay",NA,6.9354018311292
"76","County","Clay","KS",NA,"Clay",NA,3.76277372262774
"77","County","Clay","MN","Fargo","Clay",NA,7.52603327965646
"78","County","Clay","MO","Kansas City","Clay",NA,4.02209631728045
"79","County","Clay","MS",NA,"Clay",NA,4.36028659160697
"80","County","Clay","TX","Wichita Falls","Clay",NA,-0.888657648283042
"81","County","Cobb","GA","Atlanta","Cobb",NA,5.01913477537437
"82","County","Cole","MO","Jefferson City","Cole",NA,5.53485254691688
"83","County","Cook","IL","Chicago","Cook",NA,6.59596885020615
"84","County","Coos","NH","Berlin","Coos",NA,1.7860465116279
"85","County","Coos","OR","Coos Bay","Coos",NA,2.47451392538098
"86","County","Dane","WI","Madison","Dane",NA,7.81890060240964
"87","County","Dare","NC","Kill Devil Hills","Dare",NA,2.45365358592693
"88","County","Dyer","TN","Dyersburg","Dyer",NA,-0.124843945068664
"89","County","Elko","NV","Elko","Elko",NA,-0.683811129848233
"90","County","Erie","NY","Buffalo","Erie",NA,6.15019011406843
"91","County","Erie","OH","Sandusky","Erie",NA,0.935876623376619
"92","County","Erie","PA","Erie","Erie",NA,1.05728727885426
"93","County","Ford","KS","Dodge City","Ford",NA,-3.11510128913444
"94","County","Frio","TX",NA,"Frio",NA,4.94019933554817
"95","County","Gila","AZ","Payson","Gila",NA,3.84644601193707
"96","County","Gray","KS",NA,"Gray",NA,11.3976970770594
"97","County","Gray","TX","Pampa","Gray",NA,3.37371134020619
"98","County","Gulf","FL","Panama City","Gulf",NA,8.12751292360712
"99","County","Hale","TX","Plainview","Hale",NA,3.10955056179776
"100","County","Hall","GA","Gainesville","Hall",NA,6.33603020496225
"101","County","Hall","NE","Grand Island","Hall",NA,7.4983498349835
"102","County","Hart","GA",NA,"Hart",NA,5.947782546495
"103","County","Hays","TX","Austin","Hays",NA,4.64357976653698
"104","County","Hill","MT",NA,"Hill",NA,8.07943094250147
"105","County","Hill","TX",NA,"Hill",NA,2.24378698224852
"106","County","Hoke","NC","Fayetteville","Hoke",NA,1.96217650962176
"107","County","Hood","TX","Dallas-Fort Worth","Hood",NA,3.2640342530923
"108","County","Hunt","TX","Dallas-Fort Worth","Hunt",NA,-1.23471400394477
"109","County","Inyo","CA",NA,"Inyo",NA,4.80006040471157
"110","County","Iron","UT","Cedar City","Iron",NA,0.596585365853652
"111","County","Jack","TX",NA,"Jack",NA,4.76296296296297
"112","County","Kane","IL","Chicago","Kane",NA,6.45177209510992
"113","County","Kane","UT",NA,"Kane",NA,-2.82215073529412
"114","County","Kent","DE","Dover","Kent",NA,1.45238095238096
"115","County","Kent","MD",NA,"Kent",NA,3.89667519181585
"116","County","Kent","MI","Grand Rapids","Kent",NA,8.4887176664832
"117","County","Kent","RI","Providence","Kent",NA,9.16531396838958
"118","County","Kern","CA","Bakersfield","Kern",NA,5.73669064748201
"119","County","Kerr","TX","Kerrville","Kerr",NA,1.72990015764583
"120","County","King","WA","Seattle","King",NA,8.38347391440175
"121","County","Knox","IL","Galesburg","Knox",NA,1.33830104321908
"122","County","Knox","IN","Vincennes","Knox",NA,4.97529258777634
"123","County","Knox","OH","Mount Vernon","Knox",NA,6.90153172866521
"124","County","Knox","TN","Knoxville","Knox",NA,2.7751618599176
"125","County","Lake","CA","Clearlake","Lake",NA,2.50062682824905
"126","County","Lake","FL","Orlando","Lake",NA,8.47492625368731
"127","County","Lake","IL","Chicago","Lake",NA,6.54662104362702
"128","County","Lake","IN","Chicago","Lake",NA,10.7112879884226
"129","County","Lake","MT",NA,"Lake",NA,0.926274509803915
"130","County","Lake","OH","Cleveland","Lake",NA,4.07794943820226
"131","County","Lamb","TX",NA,"Lamb",NA,2.68641975308641
"132","County","Lane","OR","Eugene","Lane",NA,3.89219600725952
"133","County","Leon","FL","Tallahassee","Leon",NA,6.31435212085996
"134","County","Leon","TX",NA,"Leon",NA,5.47738287560582
"135","County","Linn","IA","Cedar Rapids","Linn",NA,1.05326704545454
"136","County","Linn","KS","Kansas City","Linn",NA,-2.86
"137","County","Linn","OR","Albany","Linn",NA,6.77221052631578
"138","County","Lynn","TX","Lubbock","Lynn",NA,6.8830242510699
"139","County","Lyon","KS","Emporia","Lyon",NA,0.647058823529423
"140","County","Lyon","MN","Marshall","Lyon",NA,7.08941176470588
"141","County","Lyon","NV","Fernley","Lyon",NA,8.20449077786689
"142","County","Maui","HI","Kahului","Maui",NA,1.41891891891892
"143","County","Mesa","CO","Grand Junction","Mesa",NA,1.08200354609929
"144","County","Napa","CA","Napa","Napa",NA,4.47758049954861
"145","County","Ohio","IN","Cincinnati","Ohio",NA,15.3580819798917
"146","County","Otoe","NE",NA,"Otoe",NA,2.61904761904761
"147","County","Owen","IN","Bloomington","Owen",NA,4.67673716012085
"148","County","Park","CO","Denver","Park",NA,7.7362434675684
"149","County","Park","MT",NA,"Park",NA,5.01784875528417
"150","County","Park","WY",NA,"Park",NA,-2.65510204081633
"151","County","Pike","GA","Atlanta","Pike",NA,10.2281757977122
"152","County","Pike","IN","Jasper","Pike",NA,6.55131964809383
"153","County","Pike","MO",NA,"Pike",NA,-16.8403967538323
"154","County","Pike","MS","McComb","Pike",NA,1.70544783010158
"155","County","Pike","PA","New York","Pike",NA,13.8943421949557
"156","County","Pima","AZ","Tucson","Pima",NA,0.0295616717635117
"157","County","Polk","AR",NA,"Polk",NA,-5.14332247557003
"158","County","Polk","FL","Lakeland","Polk",NA,4.26398075766687
"159","County","Polk","GA","Cedartown","Polk",NA,10.9588100686499
"160","County","Polk","IA","Des Moines","Polk",NA,4.64819004524888
"161","County","Polk","OR","Salem","Polk",NA,4.19019471488178
"162","County","Polk","TN","Cleveland","Polk",NA,8.10021097046414
"163","County","Polk","TX",NA,"Polk",NA,4.59381898454747
"164","County","Pope","AR","Russellville","Pope",NA,3.08849557522124
"165","County","Reno","KS","Hutchinson","Reno",NA,5.03160270880361
"166","County","Rhea","TN","Dayton","Rhea",NA,10.7285714285714
"167","County","Rice","KS",NA,"Rice",NA,2.54423076923076
"168","County","Rice","MN","Faribault","Rice",NA,7.20093457943924
"169","County","Ross","OH","Chillicothe","Ross",NA,0.778565101860051
"170","County","Rush","IN",NA,"Rush",NA,3.046875
"171","County","Rusk","TX","Longview","Rusk",NA,12.2757502027575
"172","County","Sauk","WI","Baraboo","Sauk",NA,2.50256996002285
"173","County","Tift","GA","Tifton","Tift",NA,5.41680960548885
"174","County","Utah","UT","Provo","Utah",NA,-7.57407407407408
"175","County","Vigo","IN","Terre Haute","Vigo",NA,-1.57022809123649
"176","County","Wake","NC","Raleigh","Wake",NA,3.81564844587352
"177","County","Ward","ND","Minot","Ward",NA,-0.05997334517992
"178","County","Ware","GA","Waycross","Ware",NA,-2.73986928104575
"179","County","Webb","TX","Laredo","Webb",NA,0.43629629629629
"180","County","Weld","CO","Greeley","Weld",NA,9.15297174407275
"181","County","Will","IL","Chicago","Will",NA,6.99537465309898
"182","County","Wise","TX","Dallas-Fort Worth","Wise",NA,9.1954081632653
"183","County","Wood","OH","Toledo","Wood",NA,4.36938925680648
"184","County","Wood","WI","Wisconsin Rapids-Marshfield","Wood",NA,3.43630017452008
"185","County","Wood","WV","Parkersburg","Wood",NA,2.52813425468905
"186","County","Yolo","CA","Sacramento","Yolo",NA,5.42308587386549
"187","County","York","ME","Portland","York",NA,5.81432169845268
"188","County","York","PA","York","York",NA,5.40781160252728
"189","County","York","SC","Charlotte","York",NA,1.96924766611752
"190","County","York","VA","Virginia Beach","York",NA,3.8957055214724
"191","County","Yuba","CA","Yuba City","Yuba",NA,3.16731821735732
"192","County","Yuma","AZ","Yuma","Yuma",NA,3.8074179743224
"193","County","Adams","CO","Denver","Adams",NA,5.4314381270903
"194","County","Adams","ID",NA,"Adams",NA,1.98480000000001
"195","County","Adams","IL","Quincy","Adams",NA,1.32358490566038
"196","County","Adams","IN","Decatur","Adams",NA,7.04541631623212
"197","County","Adams","MS","Natchez","Adams",NA,-3.74909747292419
"198","County","Adams","PA","Gettysburg","Adams",NA,-0.469366562824503
"199","County","Aiken","SC","Augusta","Aiken",NA,6.45038910505837
"200","County","Allen","IN","Fort Wayne","Allen",NA,5.66507936507936
"201","County","Allen","KS",NA,"Allen",NA,4.63908701854494
"202","County","Allen","OH","Lima","Allen",NA,6.03111111111112
"203","County","Anoka","MN","Minneapolis-St Paul","Anoka",NA,6.15908141962422
"204","County","Baker","FL","Jacksonville","Baker",NA,7.2453172205438
"205","County","Banks","GA",NA,"Banks",NA,4.32185273159145
"206","County","Barry","MI","Grand Rapids","Barry",NA,12.9357798165138
"207","County","Barry","MO",NA,"Barry",NA,2.98477157360406
"208","County","Bates","MO","Kansas City","Bates",NA,10.1951219512195
"209","County","Berks","PA","Reading","Berks",NA,5.35955710955711
"210","County","Bexar","TX","San Antonio","Bexar",NA,2.20314318975552
"211","County","Blair","PA","Altoona","Blair",NA,7.09372236958443
"212","County","Boise","ID","Boise City","Boise",NA,5.59442870632672
"213","County","Boone","AR","Harrison","Boone",NA,0.776363636363642
"214","County","Boone","IA","Boone","Boone",NA,2.72487160674981
"215","County","Boone","IL","Rockford","Boone",NA,-2.29303278688524
"216","County","Boone","IN","Indianapolis","Boone",NA,0.550497866287336
"217","County","Boone","KY","Cincinnati","Boone",NA,4.58585313174946
"218","County","Boone","MO","Columbia","Boone",NA,1.52287203242618
"219","County","Bowie","TX","Texarkana","Bowie",NA,-1.54105263157894
"220","County","Bronx","NY","New York","Bronx",NA,7.06111801242235
"221","County","Brown","IN","Indianapolis","Brown",NA,-0.344109589041097
"222","County","Brown","KS",NA,"Brown",NA,4.34492350486788
"223","County","Brown","OH","Cincinnati","Brown",NA,4.85306122448979
"224","County","Brown","TX","Brownwood","Brown",NA,2.6355140186916
"225","County","Brown","WI","Green Bay","Brown",NA,4.48600357355569
"226","County","Bryan","GA","Savannah","Bryan",NA,7.31942446043166
"227","County","Bryan","OK","Durant","Bryan",NA,0.136450381679398
"228","County","Bucks","PA","Philadelphia","Bucks",NA,4.38032581453633
"229","County","Burke","GA","Augusta","Burke",NA,9.27323943661973
"230","County","Butte","CA","Chico","Butte",NA,5.91040986579616
"231","County","Butts","GA","Atlanta","Butts",NA,10.3461203138622
"232","County","Cache","UT","Logan","Cache",NA,-1.88765957446808
"233","County","Cecil","MD","Philadelphia","Cecil",NA,6.24558223833258
"234","County","Cedar","MO",NA,"Cedar",NA,2.32946428571428
"235","County","Clark","IL",NA,"Clark",NA,1.32812499999999
"236","County","Clark","KS",NA,"Clark",NA,5.62659380692168
"237","County","Clark","MO","Fort Madison","Clark",NA,7.01109741060419
"238","County","Clark","NV","Las Vegas","Clark",NA,7.86421173762946
"239","County","Clark","OH","Springfield","Clark",NA,1.83804878048781
"240","County","Clark","WA","Portland","Clark",NA,-2.12141802067947
"241","County","Cocke","TN","Newport","Cocke",NA,-4.1282932416953
"242","County","Coles","IL","Charleston","Coles",NA,2.72093023255815
"243","County","Comal","TX","San Antonio","Comal",NA,1.76115397517611
"244","County","Cooke","TX","Gainesville","Cooke",NA,5.79471698113208
