Month,ZipCode,ZipName,Property Type,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
201804,01001,"Agawam, MA",Condo/Townhome/Row Home/Co-Op,*,169000.000000,-0.0609,,27.0,0.1739,,38.50,0.0065,,8.0,0.0000,-0.3333,4.0,,,8.0,0.0000,,0.0,,,179059.0000,-0.0293,-0.0578,27.0,0.1739,0.4211,0.0000,0.0000,0.0000
201804,01002,"Amherst, MA",Condo/Townhome/Row Home/Co-Op,,191250.000000,-0.0512,-0.0785,16.0,-0.2195,-0.5000,86.00,-0.2037,0.1781,8.0,1.0000,0.0000,0.0,,,0.0,,-1.0000,0.0,,,223965.0000,-0.0298,0.0254,16.0,-0.2195,-0.5000,0.0000,0.0000,0.0000
201804,01007,"Belchertown, MA",Condo/Townhome/Row Home/Co-Op,*,262550.000000,0.0294,,9.0,0.0000,1.2500,91.50,0.3969,-0.3488,0.0,,,0.0,,,0.0,,,0.0,,,254155.0000,0.0856,-0.0849,9.0,0.0000,1.2500,0.0000,0.0000,0.0000
201804,01013,"Chicopee, MA",Condo/Townhome/Row Home/Co-Op,,123450.000000,-0.4257,0.1331,3.0,0.5000,-0.4000,20.00,-0.5604,-0.9010,4.0,,,0.0,,,0.0,,,0.0,,,137710.0000,-0.3354,-0.1339,3.0,0.5000,-0.4000,0.0000,0.0000,0.0000
201804,01020,"Chicopee, MA",Condo/Townhome/Row Home/Co-Op,,161000.000000,0.0915,0.4597,6.0,-0.1429,1.0000,18.00,0.2857,-0.2500,4.0,-0.3333,0.0000,0.0,,,4.0,1.0000,,0.0,,,152961.0000,0.1490,0.2492,6.0,-0.1429,1.0000,0.0000,0.0000,0.0000
201804,01022,"Chicopee, MA",Condo/Townhome/Row Home/Co-Op,*,149950.000000,0.2291,,7.0,0.1667,-0.2222,14.00,-0.6906,-0.8095,8.0,3.0000,1.0000,0.0,,,0.0,,-1.0000,0.0,,,141634.0000,0.0339,0.1478,7.0,0.1667,-0.2222,0.0000,0.0000,0.0000
201804,01027,"Easthampton, MA",Condo/Townhome/Row Home/Co-Op,*,369050.000000,0.3483,,3.0,-0.1429,-0.4000,37.00,1.8462,0.5417,0.0,-1.0000,,0.0,,,0.0,,,0.0,,,362270.0000,0.3428,0.8148,3.0,-0.1429,-0.4000,0.0000,0.0000,0.0000
201804,01028,"East Longmeadow, MA",Condo/Townhome/Row Home/Co-Op,,372450.000000,-0.0915,0.0360,4.0,0.3333,-0.5000,260.00,-0.2250,2.8806,4.0,,,0.0,,,0.0,,-1.0000,0.0,,,373797.0000,-0.0497,-0.0481,4.0,0.3333,-0.5000,0.0000,0.0000,0.0000
201804,01030,"Feeding Hills, MA",Condo/Townhome/Row Home/Co-Op,*,181950.000000,0.0000,,1.0,0.0000,,60.00,0.4118,,0.0,,,0.0,,,0.0,,,0.0,,,181950.0000,0.0000,,1.0,0.0000,,0.0000,0.0000,
201804,01033,"Granby, MA",Condo/Townhome/Row Home/Co-Op,,139950.000000,0.0000,-0.0418,2.0,1.0000,-0.5000,107.00,0.1955,2.6897,0.0,,,0.0,,,0.0,,,0.0,,,142617.0000,0.0190,-0.0506,2.0,1.0000,-0.5000,0.0000,0.0000,0.0000
201804,01040,"Holyoke, MA",Condo/Townhome/Row Home/Co-Op,*,79950.000000,0.0000,,5.0,0.2500,,40.50,0.0000,,4.0,1.0000,0.0000,0.0,,,0.0,,,0.0,,,85501.0000,0.0978,-0.2992,5.0,0.2500,-0.2857,0.0000,0.0000,0.0000
201804,01056,"Ludlow, MA",Condo/Townhome/Row Home/Co-Op,*,289950.000000,-0.0173,0.0031,18.0,-0.0270,-0.1429,94.00,-0.5638,,4.0,,0.0000,0.0,,,0.0,,,0.0,,,278035.0000,-0.0486,0.0016,18.0,-0.0270,-0.1429,0.0000,0.0000,0.0000
201804,01057,"Monson, MA",Condo/Townhome/Row Home/Co-Op,,285050.000000,0.0000,0.0000,5.0,-0.3750,-0.4444,411.00,0.0967,7.7447,0.0,,,0.0,,,0.0,,,0.0,,,246033.0000,0.0238,-0.1015,5.0,-0.3750,-0.4444,0.0000,0.0000,0.0000
201804,01060,"Northampton, MA",Condo/Townhome/Row Home/Co-Op,*,309050.000000,0.0019,0.4455,22.0,-0.2000,-0.0833,100.00,-0.6317,,8.0,-0.2000,-0.5000,0.0,,,0.0,,,0.0,,,301333.0000,0.0243,0.1676,22.0,-0.2000,-0.0833,0.0000,0.0000,0.0000
201804,01062,"Florence, MA",Condo/Townhome/Row Home/Co-Op,,359950.000000,0.7993,0.0746,4.0,1.6667,-0.5000,34.00,-0.6951,-0.7952,0.0,-1.0000,,0.0,,,0.0,,,0.0,,,408843.0000,0.7810,0.1959,4.0,1.6667,-0.5000,0.0000,0.0000,0.0000
201804,01069,"Palmer, MA",Condo/Townhome/Row Home/Co-Op,,249500.000000,0.0000,0.7201,2.0,0.0000,-0.5000,226.00,0.1216,3.0721,0.0,,,0.0,,,0.0,,,0.0,,,227105.0000,-0.0898,0.5052,2.0,0.0000,-0.5000,0.0000,0.0000,0.0000
201804,01073,"Southampton, MA",Condo/Townhome/Row Home/Co-Op,,265050.000000,1.3038,,1.0,0.0000,,4.00,-0.6667,,4.0,,,0.0,,,0.0,,,0.0,,,265050.0000,1.3037,,1.0,0.0000,,0.0000,0.0000,
201804,01075,"South Hadley, MA",Condo/Townhome/Row Home/Co-Op,,218050.000000,-0.2211,0.0905,13.0,0.3684,-0.5185,35.50,-0.8031,0.0758,4.0,1.0000,-0.5000,0.0,,,0.0,,-1.0000,0.0,,,234484.0000,-0.1042,-0.0313,13.0,0.3684,-0.5185,0.0000,0.0000,0.0000
201804,01077,"Southwick, MA",Condo/Townhome/Row Home/Co-Op,,307500.000000,0.0984,-0.0237,7.0,-0.1765,0.0000,124.00,-0.2089,-0.7298,4.0,,0.0000,0.0,,,0.0,,,0.0,,,280036.0000,0.0399,-0.0070,7.0,-0.1765,0.0000,0.0000,0.0000,0.0000
201804,01085,"Westfield, MA",Condo/Townhome/Row Home/Co-Op,,167050.000000,0.0659,0.0189,19.0,0.0857,-0.2400,45.00,0.1921,-0.4512,4.0,-0.6000,-0.5000,0.0,,,4.0,0.0000,-0.5000,0.0,,,198356.0000,0.0017,0.0083,19.0,0.0857,-0.2400,0.0000,0.0000,0.0000
201804,01089,"West Springfield, MA",Condo/Townhome/Row Home/Co-Op,*,284950.000000,-0.0087,,14.0,-0.0968,-0.2632,52.00,1.5366,0.4247,4.0,1.0000,-0.5000,0.0,,,4.0,1.0000,-0.5000,0.0,,,246957.0000,0.0328,0.0597,14.0,-0.0968,-0.2632,0.0000,0.0000,0.0000
201804,01095,"Wilbraham, MA",Condo/Townhome/Row Home/Co-Op,,322050.000000,-0.0598,0.0003,9.0,-0.1000,-0.3571,93.00,-0.0437,0.6034,0.0,,-1.0000,0.0,,,0.0,,,0.0,,,333012.0000,-0.0288,0.0804,9.0,-0.1000,-0.3571,0.0000,0.0000,0.0000
201804,01106,"Longmeadow, MA",Condo/Townhome/Row Home/Co-Op,,218550.000000,-0.0068,0.2379,4.0,0.0000,0.3333,134.00,0.1404,4.5833,0.0,,,0.0,,,0.0,-1.0000,-1.0000,0.0,,,235106.0000,-0.0245,0.3685,4.0,0.0000,0.3333,0.0000,0.0000,0.0000
201804,01108,"Springfield, MA",Condo/Townhome/Row Home/Co-Op,,157550.000000,0.0000,-0.0308,1.0,-0.6667,-0.8000,221.00,3.6526,6.1290,0.0,,,0.0,,,0.0,,,0.0,,,174057.0000,-0.0768,0.0061,1.0,-0.6667,-0.8000,0.0000,0.0000,0.0000
201804,01129,"Springfield, MA",Condo/Townhome/Row Home/Co-Op,,129950.000000,0.0400,0.0396,2.0,-0.3333,-0.5000,128.00,-0.3025,6.5294,0.0,,-1.0000,0.0,,,0.0,,,0.0,,,128824.0000,-0.0059,0.0299,2.0,-0.3333,-0.5000,0.0000,0.0000,0.0000
201804,01201,"Pittsfield, MA",Condo/Townhome/Row Home/Co-Op,,223207.000000,-0.0564,-0.0041,37.0,-0.0390,-0.1190,244.00,0.1482,0.3556,4.0,-0.3333,0.0000,0.0,,,0.0,-1.0000,-1.0000,5.0,0.6667,-0.1667,291581.0000,-0.0151,0.0891,42.0,0.0120,-0.1250,0.1351,0.0572,-0.0077
201804,01220,"Adams, MA",Condo/Townhome/Row Home/Co-Op,,215250.000000,0.2234,0.0798,1.0,-0.3333,-0.5000,226.00,0.0403,-0.0661,0.0,,,0.0,,,0.0,,,1.0,1.0000,,215250.0000,0.2233,0.0797,2.0,0.0000,0.0000,1.0000,0.6667,1.0000
201804,01226,"Dalton, MA",Condo/Townhome/Row Home/Co-Op,,550050.000000,0.6543,0.6540,0.0,-1.0000,-1.0000,213.00,0.4392,2.6724,0.0,,,0.0,,,0.0,,,2.0,1.0000,,550050.0000,0.5278,0.5661,2.0,-0.3333,0.0000,,,
201804,01230,"Great Barrington, MA",Condo/Townhome/Row Home/Co-Op,*,639050.000000,0.0000,0.0979,43.0,0.0118,0.4828,166.00,0.2029,,0.0,,-1.0000,0.0,,,0.0,,,2.0,-0.3333,1.0000,576253.0000,0.0004,0.0960,45.0,-0.0110,0.5000,0.0465,-0.0241,0.0120
201804,01237,"Lanesborough, MA",Condo/Townhome/Row Home/Co-Op,,249050.000000,0.0000,-0.0514,17.0,0.1333,0.3077,118.00,0.1401,-0.5874,4.0,1.0000,,0.0,,,0.0,,,2.0,1.0000,0.0000,315524.0000,0.1026,-0.0047,19.0,0.1875,0.2667,0.1176,0.0510,-0.0362
201804,01238,"Lee, MA",Condo/Townhome/Row Home/Co-Op,,527000.000000,0.0000,0.9515,3.0,-0.1429,-0.7273,261.00,-0.1581,0.5915,0.0,,-1.0000,0.0,,,0.0,,,2.0,0.3333,1.0000,651990.0000,0.0924,0.4649,5.0,0.0000,-0.5833,0.6667,0.2381,0.5758
201804,01240,"Lenox, MA",Condo/Townhome/Row Home/Co-Op,,644050.000000,-0.0228,0.0222,39.0,0.2000,-0.0250,259.50,0.0318,0.2878,8.0,1.0000,0.0000,0.0,,,0.0,,,5.0,0.1111,0.2500,796484.0000,-0.0737,-0.0710,44.0,0.1892,0.0000,0.1282,-0.0103,0.0282
201804,01247,"North Adams, MA",Condo/Townhome/Row Home/Co-Op,,116050.000000,0.0557,-0.0637,5.0,0.4286,-0.1667,47.00,-0.2199,-0.5053,0.0,,,0.0,,,0.0,,,3.0,1.0000,0.5000,146049.0000,-0.1005,0.0495,8.0,0.6000,0.0000,0.6000,0.1714,0.2667
