Month,ZipCode,ZipName,Property Type,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
201804,01001,"Agawam, MA",Single Family Home,*,279950.000000,-0.0667,,34.0,-0.0145,,66.00,0.2941,,12.0,0.2000,0.5000,0.0,,,8.0,0.3333,0.0000,1.0,0.0000,0.0000,341278.0000,-0.0331,0.2831,35.0,-0.0141,0.3462,0.0294,0.0004,-0.0106
201804,01002,"Amherst, MA",Single Family Home,,487000.000000,0.0475,0.1006,72.0,0.3211,0.0000,41.00,-0.5838,-0.3109,28.0,0.1667,-0.1250,0.0,,,12.0,2.0000,0.0000,0.0,,,541913.0000,-0.0025,0.1361,72.0,0.3211,0.0000,0.0000,0.0000,0.0000
201804,01005,"Barre, MA",Single Family Home,,246050.000000,0.0200,0.1719,15.0,-0.0323,-0.2105,52.00,0.2455,0.0297,8.0,0.3333,-0.3333,0.0,,,0.0,-1.0000,-1.0000,0.0,,,270309.0000,0.0857,0.1812,15.0,-0.0323,-0.2105,0.0000,0.0000,0.0000
201804,01007,"Belchertown, MA",Single Family Home,*,339950.000000,0.0000,,65.0,-0.0226,-0.0714,57.00,-0.0339,0.2000,20.0,-0.2308,0.0000,0.0,,,8.0,-0.3333,0.0000,0.0,,,342394.0000,0.0075,0.0044,65.0,-0.0226,-0.0714,0.0000,0.0000,0.0000
201804,01008,"Blandford, MA",Single Family Home,*,232050.000000,0.1140,-0.2861,6.0,0.0909,,43.50,0.2889,-0.5896,0.0,,,0.0,,,0.0,,,3.0,0.0000,2.0000,265835.0000,0.1902,-0.1374,9.0,0.0588,-0.3077,0.5000,-0.0455,0.4167
201804,01010,"Brimfield, MA",Single Family Home,,265050.000000,0.0499,-0.0309,15.0,-0.1667,0.3636,59.00,-0.2185,0.5946,4.0,0.0000,0.0000,0.0,,,0.0,,,0.0,,,377044.0000,0.0691,0.0855,15.0,-0.1667,0.3636,0.0000,0.0000,0.0000
201804,01013,"Chicopee, MA",Single Family Home,,179950.000000,0.0210,0.0743,25.0,-0.1525,-0.3243,54.50,0.1534,-0.1349,16.0,0.6000,0.3333,0.0,,,12.0,5.0000,2.0000,0.0,,,176013.0000,-0.0095,-0.0323,25.0,-0.1525,-0.3243,0.0000,0.0000,0.0000
201804,01020,"Chicopee, MA",Single Family Home,,197050.000000,-0.0113,0.0944,43.0,-0.1887,-0.1887,48.00,-0.0813,-0.1193,28.0,0.4000,0.1667,0.0,,,12.0,-0.3333,-0.4000,0.0,,,211808.0000,0.0124,0.0552,43.0,-0.1887,-0.1887,0.0000,0.0000,0.0000
201804,01022,"Chicopee, MA",Single Family Home,*,122550.000000,-0.1180,,0.0,,,56.50,0.1531,-0.2260,0.0,,,0.0,,,0.0,,,0.0,,,129513.0000,-0.0680,0.0365,0.0,,,,,
201804,01027,"Easthampton, MA",Single Family Home,*,327500.000000,0.1360,,23.0,0.4375,0.0000,26.00,0.0297,-0.1613,16.0,0.6000,0.0000,0.0,,,4.0,1.0000,0.0000,0.0,,,338713.0000,0.0178,0.1232,23.0,0.4375,0.0000,0.0000,0.0000,0.0000
201804,01028,"East Longmeadow, MA",Single Family Home,,375050.000000,0.1367,0.1722,60.0,0.1009,-0.0323,43.00,-0.4708,0.0488,24.0,0.0909,-0.1429,0.0,,,28.0,1.3333,0.7500,0.0,,,413467.0000,0.0309,0.1169,60.0,0.1009,-0.0323,0.0000,0.0000,0.0000
201804,01030,"Feeding Hills, MA",Single Family Home,*,264950.000000,-0.0277,0.0600,21.0,0.0500,0.0000,41.00,0.1389,,8.0,-0.3333,-0.5000,0.0,,,4.0,1.0000,-0.5000,0.0,,,302787.0000,0.0125,0.1465,21.0,0.0500,0.0000,0.0000,0.0000,0.0000
201804,01033,"Granby, MA",Single Family Home,,379050.000000,-0.0778,0.1317,31.0,0.2157,0.1923,70.00,-0.5302,0.0606,12.0,0.2000,2.0000,0.0,,,4.0,,0.0000,0.0,,,351842.0000,-0.0813,0.0184,31.0,0.2157,0.1923,0.0000,0.0000,0.0000
201804,01034,"Granville, MA",Single Family Home,*,338550.000000,-0.0973,0.1287,17.0,0.1724,-0.4138,183.00,-0.1286,,4.0,-0.3333,0.0000,0.0,,,4.0,,,0.0,,,537136.0000,-0.1929,0.5527,17.0,0.1724,-0.4138,0.0000,0.0000,0.0000
201804,01035,"Hadley, MA",Single Family Home,,424050.000000,-0.2107,-0.2921,20.0,0.1111,0.0000,79.50,0.0890,0.5000,8.0,1.0000,1.0000,0.0,,,0.0,,-1.0000,0.0,,,617409.0000,-0.0756,0.1167,20.0,0.1111,0.0000,0.0000,0.0000,0.0000
201804,01036,"Hampden, MA",Single Family Home,,294950.000000,-0.0586,-0.2892,18.0,0.1250,0.0588,36.00,-0.0526,-0.4820,8.0,-0.2000,0.0000,0.0,,,8.0,1.0000,,0.0,,,329647.0000,-0.0672,-0.1910,18.0,0.1250,0.0588,0.0000,0.0000,0.0000
201804,01040,"Holyoke, MA",Single Family Home,*,229950.000000,0.0953,,25.0,0.1628,,20.00,-0.3162,,20.0,0.1111,-0.1667,0.0,,,4.0,1.0000,-0.8333,1.0,0.0000,0.0000,251300.0000,0.1474,0.1842,26.0,0.1556,-0.5593,0.0400,-0.0065,0.0228
201804,01050,"Huntington, MA",Single Family Home,,199950.000000,0.0526,-0.0126,10.0,0.0000,0.1111,84.50,0.2115,-0.0506,4.0,-0.3333,0.0000,0.0,,,4.0,-0.3333,,5.0,0.2500,0.2500,278968.0000,0.0231,0.4307,15.0,0.0714,0.1538,0.5000,0.1000,0.0556
201804,01056,"Ludlow, MA",Single Family Home,*,272450.000000,0.0437,0.0703,51.0,0.1087,0.1860,41.50,-0.3279,,24.0,0.2000,0.0000,0.0,,,12.0,-0.4000,-0.4000,0.0,,,289707.0000,0.0342,0.0295,51.0,0.1087,0.1860,0.0000,0.0000,0.0000
201804,01057,"Monson, MA",Single Family Home,,246500.000000,0.1039,0.2027,20.0,-0.0244,-0.2857,52.00,-0.0631,0.1064,8.0,-0.2000,-0.3333,0.0,,,8.0,1.0000,0.0000,0.0,,,270939.0000,0.1540,0.1475,20.0,-0.0244,-0.2857,0.0000,0.0000,0.0000
201804,01060,"Northampton, MA",Single Family Home,*,529050.000000,-0.0267,0.2764,26.0,0.1304,0.0400,81.00,0.2960,,8.0,-0.3333,-0.5000,0.0,,,8.0,1.0000,1.0000,0.0,,,629553.0000,-0.0558,0.3008,26.0,0.1304,0.0400,0.0000,0.0000,0.0000
201804,01062,"Florence, MA",Single Family Home,,429950.000000,0.0000,0.0871,20.0,0.5385,0.1765,39.00,-0.6730,0.3684,20.0,9.0000,0.2500,0.0,,,4.0,1.0000,0.0000,0.0,,,459391.0000,0.0308,0.0481,20.0,0.5385,0.1765,0.0000,0.0000,0.0000
201804,01069,"Palmer, MA",Single Family Home,,220000.000000,0.0172,0.1285,25.0,-0.0196,-0.2188,42.00,-0.0769,-0.3000,12.0,0.0000,-0.2500,0.0,,,4.0,-0.3333,0.0000,0.0,,,221602.0000,-0.0046,0.1350,25.0,-0.0196,-0.2188,0.0000,0.0000,0.0000
201804,01073,"Southampton, MA",Single Family Home,,479050.000000,0.0032,0.3125,26.0,0.1818,0.4444,67.00,-0.5118,0.4725,8.0,0.3333,0.0000,0.0,,,0.0,-1.0000,-1.0000,0.0,,,459587.0000,0.0087,0.3207,26.0,0.1818,0.4444,0.0000,0.0000,0.0000
201804,01075,"South Hadley, MA",Single Family Home,,294950.000000,0.0695,-0.0167,23.0,-0.0980,-0.2069,33.00,-0.4903,-0.2235,16.0,0.3333,0.0000,0.0,,,0.0,-1.0000,-1.0000,0.0,,,315960.0000,0.0168,-0.0215,23.0,-0.0980,-0.2069,0.0000,0.0000,0.0000
