Month,CBSACode,CBSATitle,Country,PropertyType,NoOfBdrs,MedianListingPrice ,MedianListingPrice M/M,MedianListingPrice Y/Y,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201804,41500,"Salinas, CA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,392050.000000,0.0038,-0.0126,653.00000,-0.0151,-0.0195,660.83045233225250,0.0816,0.1873,12.0,0.1429,0.3333,0.4166,0.0937,-0.0626,36.00,-1.75,-0.0464,-3.00,-0.0769,4.0,-0.5000,-0.5000,0.0,,,0.0,,,4.0,0.0000,-0.3333,16.0,0.1034,0.0667,0.3333,-0.0476,-0.3333,0.0106,-0.0837,-0.0429,-0.1989,1,0
201804,25200,"Hailey, ID",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,217150.000000,-0.0028,-0.3401,534.00000,0.0000,-0.2112,406.55430711610400,-0.0009,0.0256,15.0,0.0000,-0.0625,0.0000,-1.0000,,209.00,45.50,0.2783,-54.00,-0.2053,0.0,-1.0000,,0.0,,,0.0,,,2.0,-0.5000,-0.3333,17.0,-0.1053,-0.1053,0.1333,-0.1333,-0.0542,-0.2388,0.0851,-0.2632,0.0769,0,0
201804,10420,"Akron, OH",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,52500.000000,0.0014,0.1425,841.50000,-0.0427,0.0212,64.86094732704350,0.0968,0.0969,14.0,-0.1765,-0.2222,0.2143,1.4297,-0.2284,147.50,22.75,0.1824,72.50,0.9667,0.0,-1.0000,-1.0000,0.0,,,0.0,,-1.0000,1.0,1.0000,-0.8333,15.0,-0.1429,-0.3750,0.0714,0.0420,-0.2619,-0.5399,-0.3789,-0.3971,-0.1087,1,0
201804,15500,"Burlington, NC",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,87950.000000,0.0000,-0.1165,1147.00000,0.0000,0.0000,76.63469921534400,0.0000,-0.1166,3.0,0.2000,0.5000,0.0000,,-1.0000,80.00,31.50,0.6495,60.50,3.1026,0.0,,,0.0,,,0.0,,,0.0,,,3.0,0.2000,0.5000,0.0000,0.0000,0.0000,0.2708,0.5641,0.1846,0.9744,0,0
201804,31060,"Los Alamos, NM",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,125050.000000,0.0000,0.4324,784.00000,0.0000,0.0329,159.43877551020400,0.0000,0.3867,1.0,0.0000,0.0000,0.0000,,-1.0000,68.00,31.50,0.8630,55.00,4.2308,0.0,,-1.0000,0.0,,,0.0,,,0.0,,,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1971,-0.4787,-0.1971,-0.4787,0,0
201804,38900,"Portland-Vancouver-Hillsboro, OR-WA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,332550.000000,0.0310,0.0726,750.00000,0.0020,-0.0040,444.69044601468700,0.0128,0.0240,199.0,0.1637,1.2360,0.4221,-0.1458,-0.2776,38.00,5.25,0.1603,16.50,0.7674,104.0,-0.1034,0.0400,4.0,0.0000,0.0000,60.0,0.1111,1.5000,0.0,,-1.0000,199.0,0.1637,1.2111,0.0000,0.0000,-0.0112,-0.0594,0.2683,-0.1311,-0.4111,0,0
201804,22420,"Flint, MI",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,80000.000000,0.0319,0.0674,1242.00000,0.1684,0.3955,71.45786199095000,-0.0506,-0.1510,2.0,0.0000,1.0000,0.0000,,-1.0000,227.50,17.50,0.0833,200.50,7.4259,0.0,,,0.0,,,0.0,,,0.0,,,2.0,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0400,-0.1111,0.0588,-0.4331,0,0
201804,43740,"Somerset, PA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,64750.000000,0.0086,-0.0263,688.00000,0.0000,,91.42441860465100,0.0319,,9.0,-0.1818,0.0000,0.1111,-0.6945,-0.5000,86.00,-18.25,-0.1751,-58.50,-0.4048,0.0,,,0.0,,,0.0,,,0.0,,,9.0,-0.1818,0.0000,0.0000,0.0000,0.0000,-0.3333,-0.1238,-0.1915,-0.1364,0,1
201804,27220,"Jackson, WY-ID",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,349050.000000,-0.2502,-0.3415,763.00000,-0.0104,-0.0218,574.01315789473600,-0.0428,-0.0522,24.0,0.0435,0.2000,0.1666,-0.0420,0.6660,224.00,18.00,0.0874,31.00,0.1606,4.0,0.0000,0.0000,0.0,,,0.0,-1.0000,,2.0,3.0000,-0.6000,26.0,0.1064,0.0400,0.0833,0.0616,-0.1667,-0.2685,0.4568,-0.2581,0.2778,1,0
201804,45860,"Torrington, CT",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,137550.000000,0.6693,0.0004,1145.50000,0.4142,0.3243,152.13100419710850,0.3888,0.0640,36.0,0.3333,0.3846,0.4444,1.1816,1.8894,50.00,-13.50,-0.2126,-109.00,-0.6855,4.0,1.0000,-0.5000,0.0,,,0.0,,,0.0,,,36.0,0.3333,0.3846,0.0000,0.0000,0.0000,-0.2088,0.1552,-0.2500,-0.1316,0,0
